 no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
2,1,2,94,296,5,478,24,175,224,80,1
0,2,1,39,119,3,117,27,22,85,33,2
3,1,2,89,294,9,206,71,45,330,127,2
3,1,2,80,304,3,167,182,33,230,79,2
5,2,1,96,239,9,82,124,82,291,50,2
0,1,1,46,132,4,19,68,83,134,51,2
5,1,2,85,327,1,378,225,148,289,43,1
2,1,1,55,147,9,82,132,57,115,60,2
0,1,1,6,19,9,482,13,8,25,6,1
5,2,2,9,40,4,88,32,14,30,16,2
4,1,1,27,109,0,247,81,47,92,31,1
2,2,1,65,224,8,238,153,58,201,64,2
3,2,1,48,113,7,11,64,96,143,43,2
2,1,1,89,312,6,379,108,166,206,50,1
1,2,2,17,71,2,169,19,12,56,19,2
5,2,2,45,104,4,494,57,39,161,44,1
2,1,1,3,13,1,363,13,1,10,7,1
4,2,1,27,91,6,480,29,28,64,43,1
2,1,2,25,100,4,436,10,0,59,33,1
5,1,2,61,143,5,352,103,35,232,59,1
2,1,2,48,191,5,15,95,16,177,61,2
4,1,2,56,137,7,230,38,113,219,54,2
4,1,1,63,254,8,11,131,17,192,85,2
0,2,1,3,11,0,251,9,6,8,3,1
0,2,2,47,95,7,24,38,87,97,33,2
5,2,2,29,92,9,214,79,31,63,26,2
4,1,2,80,278,5,396,115,106,250,72,1
4,2,1,22,53,1,362,45,42,51,25,1
5,2,1,68,237,2,36,23,119,272,97,2
3,2,1,88,312,4,550,218,124,334,80,1
2,2,2,96,250,5,13,202,52,252,93,2
2,1,2,55,117,2,63,36,74,214,43,2
1,2,1,6,13,4,136,7,2,19,10,2
5,2,1,82,217,0,530,38,39,196,54,1
3,1,2,47,116,3,312,97,12,187,58,1
2,1,1,15,31,3,391,27,28,57,9,1
3,2,2,14,59,8,336,34,7,50,14,1
5,1,1,78,269,2,48,64,3,164,71,2
5,1,2,34,74,7,530,70,13,97,29,1
3,2,1,13,48,2,52,1,2,53,9,2
1,1,2,76,178,0,412,86,112,214,90,1
2,2,2,89,246,7,522,223,121,307,52,1
3,1,2,12,31,2,240,2,15,36,8,2
2,1,1,6,20,5,42,22,13,15,8,2
5,1,2,63,131,8,487,182,3,159,54,1
4,1,2,78,275,7,31,130,63,211,109,2
3,2,1,40,143,2,379,24,69,84,49,1
1,1,1,47,188,6,377,54,91,174,65,1
3,2,2,53,202,5,334,8,86,182,82,1
1,2,1,93,188,7,362,1,105,370,117,1
4,1,2,71,251,7,202,5,18,202,105,2
2,1,2,85,244,4,135,68,35,215,113,2
5,2,2,36,73,1,389,87,1,90,34,1
1,2,1,82,227,5,357,154,148,316,82,1
2,1,1,49,194,9,290,74,93,191,34,1
5,2,2,65,242,5,518,12,56,160,62,1
2,2,2,41,103,8,131,21,15,90,52,2
5,1,1,91,302,8,541,193,103,343,87,1
1,1,2,72,181,9,121,185,91,172,41,2
2,2,2,83,186,8,178,237,163,256,114,2
3,2,1,94,302,8,369,47,19,262,93,1
5,2,1,86,286,2,65,243,86,271,47,2
3,2,1,31,72,9,286,16,56,102,29,1
4,1,1,37,120,8,484,76,69,128,28,1
1,1,2,39,100,5,64,95,61,146,28,2
3,2,2,81,288,4,415,61,119,238,119,1
0,2,1,25,98,9,393,2,17,56,14,2
4,1,2,54,121,1,477,55,31,115,55,1
0,1,2,17,47,5,12,40,28,46,24,2
4,2,1,3,12,9,40,1,2,16,6,2
5,1,1,51,183,1,86,27,97,116,42,1
5,2,2,68,180,1,118,184,117,212,76,2
3,2,1,56,164,7,435,39,94,123,56,1
2,2,2,24,81,2,194,65,38,53,20,2
2,2,2,17,62,8,371,6,25,45,11,1
4,1,2,55,145,7,397,143,78,126,63,1
0,1,2,88,332,3,501,116,89,350,111,1
2,2,2,83,291,5,276,176,56,249,90,1
0,2,2,5,11,6,339,19,7,21,9,1
4,1,2,33,86,1,170,13,22,120,20,2
0,2,2,86,309,1,526,29,5,330,86,1
2,2,1,97,209,7,63,254,114,263,68,2
3,1,2,34,83,9,313,94,3,100,33,1
3,2,1,28,79,7,413,53,58,107,34,1
2,1,2,66,209,7,139,171,47,230,36,2
5,2,1,9,35,8,87,13,12,35,16,2
1,2,1,85,280,3,102,204,136,276,102,2
4,1,1,18,77,2,537,51,26,36,29,1
2,2,2,96,367,4,341,240,0,231,76,1
4,1,2,55,208,8,189,5,43,122,60,2
4,1,2,86,204,8,240,192,32,221,126,2
4,1,2,36,86,1,544,91,35,128,47,1
1,1,2,15,61,4,152,9,11,53,21,2
2,1,2,8,17,4,66,12,4,29,13,2
5,1,2,1,8,0,0,1,5,4,4,1
2,1,1,64,147,8,170,12,48,179,70,2
2,2,2,85,247,9,561,147,85,229,73,1
4,1,2,92,291,5,262,258,152,359,71,1
0,1,2,42,105,6,163,24,48,135,47,2
4,2,2,2,6,5,178,7,1,9,1,2
2,2,1,1,8,0,402,3,2,2,2,1
2,2,1,41,126,9,318,114,36,111,24,1
4,1,2,14,42,5,333,7,17,38,19,1
5,2,1,60,233,4,31,185,103,235,87,2
3,2,1,40,94,7,541,78,3,164,51,1
4,2,1,88,178,5,464,6,165,205,116,1
0,1,2,25,103,2,291,13,27,96,18,1
1,1,1,95,355,0,419,196,76,201,109,1
2,1,2,31,65,6,17,34,3,114,36,2
0,2,2,1,8,3,478,8,2,6,1,1
3,1,1,72,179,6,2,56,31,176,50,2
5,2,2,69,194,3,202,73,56,250,98,2
5,2,1,71,218,8,579,195,106,190,98,1
1,2,2,82,231,6,137,154,58,331,81,2
0,2,1,31,105,5,497,6,60,74,33,1
4,2,1,56,229,8,156,161,42,223,75,2
0,2,2,4,13,2,347,15,6,12,7,1
0,2,2,70,155,5,79,127,122,212,36,2
1,2,1,89,326,0,417,22,20,233,59,1
5,1,2,7,20,7,245,1,2,24,8,2
2,1,2,6,29,3,17,3,10,17,9,2
1,2,2,83,326,4,270,51,62,202,55,1
0,2,1,88,184,8,565,263,0,206,113,1
3,1,2,68,192,6,419,122,103,179,102,1
3,1,2,0,3,7,521,4,1,2,1,1
4,2,1,2,5,4,559,9,5,5,2,1
3,2,2,49,179,4,95,1,80,152,63,2
2,2,1,5,23,5,129,16,13,24,8,2
3,1,2,2,9,5,561,2,6,8,2,1
0,2,1,93,205,6,265,151,119,336,133,1
5,1,2,86,223,4,57,79,86,179,49,2
3,2,1,16,33,8,165,6,5,51,26,2
4,2,1,66,136,3,179,117,91,254,96,2
3,2,2,13,52,7,417,21,8,41,13,1
3,1,2,14,52,5,125,6,8,51,9,2
2,2,2,44,164,0,486,2,59,136,61,1
5,2,1,20,64,2,82,44,13,83,11,2
3,2,1,27,82,5,264,10,31,72,18,1
0,1,2,0,4,3,201,5,2,4,1,2
2,2,1,23,91,4,427,66,41,92,33,1
4,2,2,34,72,2,594,11,65,71,28,1
0,1,1,53,164,8,529,55,13,125,59,1
4,2,2,64,171,9,206,26,100,256,72,2
2,1,1,84,318,2,502,94,167,242,98,1
5,2,2,4,12,6,243,3,9,18,3,2
3,1,1,12,29,9,472,24,9,48,16,1
3,1,2,38,108,5,272,97,1,122,24,1
0,2,1,47,116,7,409,146,9,182,38,1
5,1,2,18,59,8,102,40,21,69,11,2
1,2,1,50,190,3,181,143,95,185,42,2
5,1,1,87,285,2,472,136,55,201,84,1
1,1,1,63,203,0,6,159,19,178,32,1
2,2,2,11,42,2,115,0,9,26,12,2
3,2,2,92,347,7,248,182,44,357,48,2
5,2,2,48,109,3,401,91,5,137,46,1
2,1,2,28,74,5,590,47,43,81,21,1
5,2,1,97,330,2,64,53,183,275,83,2
5,1,1,5,10,9,404,16,0,19,6,1
3,1,1,38,103,4,18,15,51,77,49,2
5,2,2,29,93,0,461,58,18,101,42,1
4,2,2,43,148,2,393,37,15,175,60,1
3,2,2,95,203,7,224,241,111,271,61,2
2,2,1,18,50,4,381,49,14,40,29,1
2,1,1,79,220,8,437,223,126,267,73,1
0,2,2,55,156,7,338,1,95,160,45,1
4,2,2,56,125,0,356,5,50,157,28,1
1,1,2,16,62,2,240,25,32,47,11,2
4,2,1,89,349,2,41,10,3,228,82,2
0,2,1,46,172,0,71,117,68,184,35,1
3,2,1,36,102,5,586,40,5,146,23,1
0,2,2,17,38,8,501,4,8,45,12,1
3,2,1,34,92,7,448,77,24,94,26,1
2,2,1,72,279,3,76,219,50,171,52,2
4,2,1,64,140,3,71,108,95,182,74,2
2,1,2,16,50,2,526,45,7,62,13,1
4,2,2,90,269,5,573,45,18,335,114,1
5,2,1,22,83,3,9,5,6,54,28,2
4,2,2,54,130,9,569,33,75,197,65,1
5,1,2,36,136,5,234,47,29,79,28,2
3,2,1,43,176,2,487,98,36,140,42,1
0,1,1,7,19,7,266,1,7,17,6,1
0,2,2,26,96,3,442,49,13,64,17,1
2,2,2,73,228,1,524,121,109,260,95,1
4,1,2,12,28,6,275,30,21,46,14,1
2,1,1,36,106,4,466,19,39,83,30,1
1,2,1,15,47,4,588,29,9,38,22,1
3,1,1,88,301,2,338,168,110,266,92,1
5,2,1,71,230,2,322,71,116,261,105,1
1,2,2,72,195,8,158,126,62,274,40,2
1,2,2,88,279,7,27,17,23,237,112,2
0,2,2,28,62,0,312,88,34,64,17,1
1,1,2,6,26,3,382,22,11,26,7,1
2,1,2,46,129,0,283,137,58,92,52,1
5,2,2,62,180,3,397,100,36,222,36,1
3,1,2,90,268,5,6,58,115,277,96,2
2,2,2,26,57,8,516,63,42,77,34,1
4,2,1,83,286,9,155,152,58,222,94,2
3,1,1,45,161,4,18,114,81,159,43,2
4,2,1,96,209,9,55,220,89,315,143,2
2,2,1,36,86,7,89,2,56,119,22,2
2,1,2,3,12,0,588,15,3,12,6,1
2,1,1,67,153,2,52,130,53,223,100,2
4,2,1,94,298,5,570,3,67,375,56,1
3,2,2,27,62,8,527,83,6,101,32,1
2,1,2,96,206,5,468,34,102,376,133,1
0,1,2,69,151,8,407,103,108,193,58,1
1,2,1,75,188,4,55,113,49,216,66,2
3,1,2,12,30,0,352,1,21,32,19,1
3,1,2,76,156,0,365,144,9,269,54,1
5,2,1,15,57,8,120,5,16,34,23,2
2,2,2,83,324,8,171,126,94,336,125,2
5,2,2,17,72,9,415,51,28,62,28,1
2,2,1,65,149,4,389,0,82,147,68,1
3,1,1,67,161,1,487,111,61,261,38,1
2,1,2,24,75,1,519,31,43,54,15,1
4,1,1,94,208,2,509,161,95,344,87,1
1,2,1,66,167,0,444,155,39,234,35,1
