person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22.0,1,1,0.026201098800693746,0.0,3,0.9999999999999999,1,0.7270233196159122,0.7424242424242424,3.0,561,2,1
21.0,1,2,0.001754442751369404,0.0,1,0.014492753623188404,2,0.39231824417009614,0.12121212121212122,2.0,504,1,0
25.0,1,2,0.0018183598623487652,0.039473684210526314,2,0.14492753623188404,3,0.5109739368998627,0.6666666666666666,3.0,635,2,1
23.0,1,3,0.029399002975013737,0.0,3,0.9999999999999999,3,0.6728395061728396,0.6666666666666666,2.0,675,2,1
24.0,2,1,0.023819366966571758,0.013157894736842105,3,0.9999999999999999,3,0.6069958847736625,0.8030303030303031,4.0,586,2,1
21.0,1,2,0.0020285488234539745,0.0,1,0.05797101449275363,4,0.11796982167352538,0.2878787878787879,2.0,532,2,1
26.0,1,3,0.03501961149049376,0.013157894736842105,3,0.9999999999999999,2,0.48010973936899864,0.5606060606060606,3.0,701,2,1
24.0,1,2,0.03587142991181487,0.06578947368421052,3,0.9999999999999999,3,0.3902606310013717,0.5606060606060606,4.0,585,2,1
24.0,1,4,0.037974958423148485,0.039473684210526314,3,0.9999999999999999,1,0.23868312757201654,0.5303030303030303,2.0,544,2,1
21.0,1,2,0.0019416871085333027,0.0,1,0.0318840579710145,4,0.6392318244170097,0.19696969696969696,3.0,640,2,1
22.0,1,2,0.03891773581009407,0.0,3,0.9999999999999999,4,0.3395061728395062,0.5151515151515151,4.0,621,2,1
21.0,1,4,0.0020949242848556193,0.0,1,0.11594202898550725,5,0.22016460905349805,0.5151515151515151,2.0,651,2,1
23.0,2,3,0.04378322102086279,0.039473684210526314,3,0.9999999999999999,4,0.17009602194787382,0.45454545454545453,2.0,573,2,1
26.0,2,1,0.05027859256160524,0.0,3,0.9999999999999999,2,0.8895747599451302,0.4090909090909091,4.0,708,2,1
23.0,1,4,0.053673164769707876,0.0,3,0.9999999999999999,2,0.17009602194787382,0.3787878787878788,4.0,583,2,0
23.0,1,1,0.24292230670297923,0.06578947368421052,2,0.855072463768116,6,0.3587105624142662,0.07575757575757576,3.0,670,1,0
23.0,2,3,0.05610898031312009,0.0,3,0.9999999999999999,2,0.17009602194787382,0.36363636363636365,4.0,663,2,0
23.0,1,2,0.04235287080016438,0.0,3,0.9999999999999999,3,1.0,0.46969696969696967,4.0,694,2,1
23.0,2,3,0.05270211635290604,0.0,3,0.9999999999999999,6,0.8799725651577504,0.3939393939393939,4.0,709,2,1
24.0,1,1,0.002574302617200832,0.013157894736842105,2,0.03623188405797101,2,0.3820301783264746,0.18181818181818182,2.0,679,2,1
