 no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
2,1,2,0.9690721649484535,0.7551020408163265,0.5555555555555556,0.7966666666666669,0.08247422680412371,0.9072164948453608,0.5758354755784062,0.54421768707483,1
0,2,1,0.4020618556701031,0.30357142857142855,0.3333333333333333,0.19500000000000006,0.09278350515463918,0.1134020618556701,0.21850899742930593,0.22448979591836737,2
3,1,2,0.9175257731958762,0.7499999999999999,1.0,0.3433333333333334,0.24398625429553264,0.23195876288659792,0.8483290488431877,0.870748299319728,2
3,1,2,0.8247422680412371,0.7755102040816326,0.3333333333333333,0.27833333333333343,0.6254295532646048,0.17010309278350516,0.5912596401028278,0.5374149659863946,2
5,2,1,0.9896907216494845,0.6096938775510203,1.0,0.13666666666666671,0.4261168384879725,0.422680412371134,0.7480719794344474,0.34013605442176875,2
0,1,1,0.4742268041237113,0.336734693877551,0.4444444444444445,0.03166666666666673,0.23367697594501718,0.42783505154639173,0.3444730077120823,0.34693877551020413,2
5,1,2,0.8762886597938143,0.8341836734693877,0.1111111111111111,0.6300000000000001,0.7731958762886598,0.7628865979381443,0.7429305912596402,0.29251700680272114,1
2,1,1,0.5670103092783505,0.375,1.0,0.13666666666666671,0.4536082474226804,0.29381443298969073,0.29562982005141386,0.40816326530612246,2
0,1,1,0.061855670103092786,0.04846938775510204,1.0,0.8033333333333335,0.044673539518900345,0.041237113402061855,0.06426735218508997,0.04081632653061225,1
5,2,2,0.09278350515463918,0.10204081632653061,0.4444444444444445,0.14666666666666672,0.10996563573883161,0.07216494845360824,0.07712082262210797,0.108843537414966,2
4,1,1,0.27835051546391754,0.2780612244897959,0.0,0.41166666666666674,0.27835051546391754,0.2422680412371134,0.2365038560411311,0.2108843537414966,1
2,2,1,0.6701030927835051,0.5714285714285714,0.8888888888888888,0.3966666666666667,0.5257731958762887,0.29896907216494845,0.5167095115681235,0.435374149659864,2
3,2,1,0.49484536082474223,0.288265306122449,0.7777777777777777,0.018333333333333313,0.21993127147766323,0.49484536082474223,0.3676092544987147,0.29251700680272114,2
2,1,1,0.9175257731958762,0.7959183673469387,0.6666666666666665,0.6316666666666668,0.3711340206185567,0.8556701030927835,0.5295629820051414,0.34013605442176875,1
1,2,2,0.17525773195876287,0.18112244897959182,0.2222222222222222,0.28166666666666673,0.06529209621993128,0.06185567010309278,0.14395886889460155,0.1292517006802721,2
5,2,2,0.4639175257731959,0.2653061224489796,0.4444444444444445,0.8233333333333335,0.1958762886597938,0.20103092783505155,0.4138817480719794,0.29931972789115646,1
2,1,1,0.03092783505154639,0.033163265306122444,0.1111111111111111,0.605,0.044673539518900345,0.005154639175257732,0.025706940874035994,0.04761904761904762,1
4,2,1,0.27835051546391754,0.23214285714285712,0.6666666666666665,0.8,0.09965635738831614,0.14432989690721648,0.16452442159383035,0.29251700680272114,1
2,1,2,0.2577319587628866,0.25510204081632654,0.4444444444444445,0.7266666666666668,0.034364261168384876,0.0,0.15167095115681237,0.22448979591836737,1
5,1,2,0.6288659793814433,0.3647959183673469,0.5555555555555556,0.5866666666666667,0.3539518900343642,0.18041237113402062,0.596401028277635,0.40136054421768713,1
2,1,2,0.49484536082474223,0.4872448979591837,0.5555555555555556,0.025000000000000022,0.32646048109965636,0.08247422680412371,0.455012853470437,0.41496598639455784,2
4,1,2,0.5773195876288659,0.3494897959183674,0.7777777777777777,0.3833333333333334,0.13058419243986255,0.5824742268041236,0.5629820051413882,0.3673469387755102,2
4,1,1,0.6494845360824741,0.6479591836734693,0.8888888888888888,0.018333333333333313,0.45017182130584193,0.08762886597938144,0.49357326478149105,0.5782312925170069,2
0,2,1,0.03092783505154639,0.028061224489795915,0.0,0.41833333333333345,0.03092783505154639,0.03092783505154639,0.020565552699228794,0.020408163265306124,1
0,2,2,0.4845360824742268,0.2423469387755102,0.7777777777777777,0.040000000000000036,0.13058419243986255,0.44845360824742264,0.2493573264781491,0.22448979591836737,2
5,2,2,0.29896907216494845,0.2346938775510204,1.0,0.3566666666666667,0.27147766323024053,0.15979381443298968,0.16195372750642675,0.17687074829931973,2
