 no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
0,2,1,0.4020618556701031,0.30357142857142855,0.3333333333333333,0.19500000000000006,0.09278350515463918,0.1134020618556701,0.21850899742930593,0.22448979591836737,2
3,1,2,0.9175257731958762,0.7499999999999999,1.0,0.3433333333333334,0.24398625429553264,0.23195876288659792,0.8483290488431877,0.870748299319728,2
3,1,2,0.8247422680412371,0.7755102040816326,0.3333333333333333,0.27833333333333343,0.6254295532646048,0.17010309278350516,0.5912596401028278,0.5374149659863946,2
5,2,1,0.9896907216494845,0.6096938775510203,1.0,0.13666666666666671,0.4261168384879725,0.422680412371134,0.7480719794344474,0.34013605442176875,2
0,1,1,0.4742268041237113,0.336734693877551,0.4444444444444445,0.03166666666666673,0.23367697594501718,0.42783505154639173,0.3444730077120823,0.34693877551020413,2
2,1,1,0.5670103092783505,0.375,1.0,0.13666666666666671,0.4536082474226804,0.29381443298969073,0.29562982005141386,0.40816326530612246,2
5,2,2,0.09278350515463918,0.10204081632653061,0.4444444444444445,0.14666666666666672,0.10996563573883161,0.07216494845360824,0.07712082262210797,0.108843537414966,2
2,2,1,0.6701030927835051,0.5714285714285714,0.8888888888888888,0.3966666666666667,0.5257731958762887,0.29896907216494845,0.5167095115681235,0.435374149659864,2
3,2,1,0.49484536082474223,0.288265306122449,0.7777777777777777,0.018333333333333313,0.21993127147766323,0.49484536082474223,0.3676092544987147,0.29251700680272114,2
1,2,2,0.17525773195876287,0.18112244897959182,0.2222222222222222,0.28166666666666673,0.06529209621993128,0.06185567010309278,0.14395886889460155,0.1292517006802721,2
2,1,2,0.49484536082474223,0.4872448979591837,0.5555555555555556,0.025000000000000022,0.32646048109965636,0.08247422680412371,0.455012853470437,0.41496598639455784,2
4,1,2,0.5773195876288659,0.3494897959183674,0.7777777777777777,0.3833333333333334,0.13058419243986255,0.5824742268041236,0.5629820051413882,0.3673469387755102,2
4,1,1,0.6494845360824741,0.6479591836734693,0.8888888888888888,0.018333333333333313,0.45017182130584193,0.08762886597938144,0.49357326478149105,0.5782312925170069,2
0,2,2,0.4845360824742268,0.2423469387755102,0.7777777777777777,0.040000000000000036,0.13058419243986255,0.44845360824742264,0.2493573264781491,0.22448979591836737,2
5,2,2,0.29896907216494845,0.2346938775510204,1.0,0.3566666666666667,0.27147766323024053,0.15979381443298968,0.16195372750642675,0.17687074829931973,2
5,2,1,0.7010309278350515,0.6045918367346939,0.2222222222222222,0.06000000000000005,0.07903780068728522,0.61340206185567,0.699228791773779,0.6598639455782314,2
2,2,2,0.9896907216494845,0.6377551020408162,0.5555555555555556,0.021666666666666723,0.6941580756013745,0.26804123711340205,0.647814910025707,0.6326530612244898,2
2,1,2,0.5670103092783505,0.29846938775510207,0.2222222222222222,0.1050000000000001,0.12371134020618556,0.38144329896907214,0.5501285347043703,0.29251700680272114,2
1,2,1,0.061855670103092786,0.033163265306122444,0.4444444444444445,0.22666666666666668,0.024054982817869414,0.010309278350515464,0.048843187660668384,0.06802721088435375,2
5,1,1,0.8041237113402061,0.6862244897959183,0.2222222222222222,0.08000000000000007,0.21993127147766323,0.015463917525773195,0.42159383033419023,0.4829931972789116,2
3,2,1,0.13402061855670103,0.12244897959183675,0.2222222222222222,0.08666666666666667,0.003436426116838488,0.010309278350515464,0.13624678663239076,0.06122448979591837,2
3,1,2,0.12371134020618556,0.07908163265306123,0.2222222222222222,0.4,0.006872852233676976,0.07731958762886598,0.09254498714652956,0.054421768707483,2
2,1,1,0.061855670103092786,0.0510204081632653,0.5555555555555556,0.07000000000000006,0.07560137457044673,0.06701030927835051,0.038560411311053984,0.054421768707483,2
4,1,2,0.8041237113402061,0.7015306122448979,0.7777777777777777,0.05166666666666675,0.4467353951890034,0.3247422680412371,0.5424164524421594,0.7414965986394558,2
4,1,2,0.7319587628865979,0.6403061224489796,0.7777777777777777,0.33666666666666667,0.017182130584192438,0.09278350515463918,0.519280205655527,0.7142857142857143,2
2,1,2,0.8762886597938143,0.6224489795918366,0.4444444444444445,0.2250000000000001,0.23367697594501718,0.18041237113402062,0.5526992287917738,0.7687074829931974,2
2,2,2,0.422680412371134,0.2627551020408163,0.8888888888888888,0.21833333333333338,0.07216494845360824,0.07731958762886598,0.23136246786632392,0.35374149659863946,2
1,1,2,0.7422680412371133,0.461734693877551,1.0,0.20166666666666666,0.6357388316151202,0.4690721649484536,0.442159383033419,0.27891156462585037,2
2,2,2,0.8556701030927835,0.4744897959183673,0.8888888888888888,0.29666666666666675,0.8178694158075601,0.8402061855670103,0.6580976863753214,0.7755102040816327,2
5,2,1,0.8865979381443299,0.7295918367346939,0.2222222222222222,0.10833333333333339,0.8384879725085911,0.44329896907216493,0.6966580976863754,0.3197278911564626,2
